platform,account_id,post_id,published_at,likes,comments,metrics_observed_at,source,measurement_protocol
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0001,2025-01-01T08:00:00-04:00,72,9,2025-01-03T08:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0002,2025-01-01T11:00:00-04:00,107,9,2025-01-03T11:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0003,2025-01-01T20:00:00-04:00,34,6,2025-01-03T20:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0001,2025-01-01T22:00:00-04:00,19,4,2025-01-03T22:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0001,2025-01-01T22:00:00-04:00,41,0,2025-01-03T22:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0001,2025-01-01T22:00:00-04:00,84,11,2025-01-03T22:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0001,2025-01-02T01:00:00-04:00,86,6,2025-01-04T01:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0002,2025-01-02T06:00:00-04:00,53,4,2025-01-04T06:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0002,2025-01-02T12:00:00-04:00,68,3,2025-01-04T12:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0004,2025-01-02T12:00:00-04:00,36,2,2025-01-04T12:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0002,2025-01-02T15:00:00-04:00,26,0,2025-01-04T15:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0002,2025-01-02T20:00:00-04:00,106,10,2025-01-04T20:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0003,2025-01-03T08:00:00-04:00,49,4,2025-01-05T08:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0001,2025-01-03T11:00:00-04:00,47,2,2025-01-05T11:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0005,2025-01-03T13:00:00-04:00,79,6,2025-01-05T13:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0003,2025-01-03T23:00:00-04:00,38,1,2025-01-05T23:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0003,2025-01-03T23:00:00-04:00,62,2,2025-01-05T23:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0006,2025-01-04T04:00:00-04:00,34,4,2025-01-06T04:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0004,2025-01-04T09:00:00-04:00,55,1,2025-01-06T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0007,2025-01-04T16:00:00-04:00,51,2,2025-01-06T16:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0004,2025-01-04T22:00:00-04:00,58,2,2025-01-06T22:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0008,2025-01-04T23:00:00-04:00,43,2,2025-01-06T23:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0003,2025-01-05T00:00:00-04:00,49,5,2025-01-07T00:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0004,2025-01-05T04:00:00-04:00,48,5,2025-01-07T04:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0005,2025-01-05T06:00:00-04:00,43,6,2025-01-07T06:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0006,2025-01-05T21:00:00-04:00,84,6,2025-01-07T21:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0009,2025-01-06T05:00:00-04:00,82,7,2025-01-08T05:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0002,2025-01-06T11:00:00-04:00,88,8,2025-01-08T11:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0003,2025-01-06T21:00:00-04:00,65,5,2025-01-08T21:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0010,2025-01-07T10:00:00-04:00,131,8,2025-01-09T10:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0004,2025-01-07T13:00:00-04:00,62,6,2025-01-09T13:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0004,2025-01-07T22:00:00-04:00,33,1,2025-01-09T22:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0005,2025-01-08T02:00:00-04:00,41,0,2025-01-10T02:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0006,2025-01-08T05:00:00-04:00,60,4,2025-01-10T05:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0005,2025-01-08T09:00:00-04:00,48,1,2025-01-10T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0006,2025-01-08T12:00:00-04:00,38,3,2025-01-10T12:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0005,2025-01-08T13:00:00-04:00,114,7,2025-01-10T13:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0007,2025-01-09T16:00:00-04:00,213,18,2025-01-11T16:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0006,2025-01-09T18:00:00-04:00,109,5,2025-01-11T18:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0005,2025-01-09T23:00:00-04:00,99,10,2025-01-11T23:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0007,2025-01-10T00:00:00-04:00,24,2,2025-01-12T00:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0006,2025-01-10T04:00:00-04:00,52,6,2025-01-12T04:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0007,2025-01-10T13:00:00-04:00,72,5,2025-01-12T13:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0008,2025-01-10T21:00:00-04:00,190,16,2025-01-12T21:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0007,2025-01-11T03:00:00-04:00,85,7,2025-01-13T03:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0008,2025-01-11T09:00:00-04:00,56,4,2025-01-13T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0008,2025-01-11T10:00:00-04:00,54,4,2025-01-13T10:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0009,2025-01-11T14:00:00-04:00,75,7,2025-01-13T14:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0011,2025-01-11T14:00:00-04:00,58,2,2025-01-13T14:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0009,2025-01-12T05:00:00-04:00,96,8,2025-01-14T05:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0009,2025-01-12T06:00:00-04:00,32,1,2025-01-14T06:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0008,2025-01-12T06:00:00-04:00,95,6,2025-01-14T06:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0007,2025-01-12T07:00:00-04:00,58,5,2025-01-14T07:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0008,2025-01-12T11:00:00-04:00,78,4,2025-01-14T11:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0012,2025-01-12T11:00:00-04:00,90,8,2025-01-14T11:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0009,2025-01-12T21:00:00-04:00,84,6,2025-01-14T21:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0010,2025-01-13T11:00:00-04:00,76,4,2025-01-15T11:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0010,2025-01-13T20:00:00-04:00,41,0,2025-01-15T20:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0010,2025-01-13T22:00:00-04:00,97,9,2025-01-15T22:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0009,2025-01-14T03:00:00-04:00,35,4,2025-01-16T03:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0011,2025-01-14T09:00:00-04:00,61,1,2025-01-16T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0010,2025-01-14T09:00:00-04:00,107,6,2025-01-16T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0011,2025-01-14T09:00:00-04:00,46,4,2025-01-16T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0012,2025-01-14T12:00:00-04:00,43,4,2025-01-16T12:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0011,2025-01-15T00:00:00-04:00,113,11,2025-01-17T00:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0011,2025-01-15T03:00:00-04:00,54,2,2025-01-17T03:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0010,2025-01-15T03:00:00-04:00,67,4,2025-01-17T03:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0013,2025-01-15T03:00:00-04:00,118,10,2025-01-17T03:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0011,2025-01-15T08:00:00-04:00,50,5,2025-01-17T08:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0012,2025-01-15T11:00:00-04:00,158,12,2025-01-17T11:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0012,2025-01-15T15:00:00-04:00,24,2,2025-01-17T15:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0012,2025-01-15T16:00:00-04:00,266,17,2025-01-17T16:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0013,2025-01-15T18:00:00-04:00,130,9,2025-01-17T18:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0013,2025-01-16T09:00:00-04:00,75,11,2025-01-18T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0014,2025-01-16T13:00:00-04:00,92,2,2025-01-18T13:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0014,2025-01-16T18:00:00-04:00,94,9,2025-01-18T18:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0013,2025-01-16T19:00:00-04:00,21,0,2025-01-18T19:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0015,2025-01-16T23:00:00-04:00,118,8,2025-01-18T23:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0012,2025-01-17T08:00:00-04:00,61,5,2025-01-19T08:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0014,2025-01-17T20:00:00-04:00,16,3,2025-01-19T20:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0015,2025-01-17T22:00:00-04:00,173,18,2025-01-19T22:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0016,2025-01-18T03:00:00-04:00,173,15,2025-01-20T03:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0015,2025-01-18T07:00:00-04:00,78,7,2025-01-20T07:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_03,synthetic_instagram_03_post_0017,2025-01-18T09:00:00-04:00,103,7,2025-01-20T09:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0016,2025-01-18T10:00:00-04:00,81,5,2025-01-20T10:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_02,synthetic_facebook_02_post_0013,2025-01-19T05:00:00-04:00,25,0,2025-01-21T05:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_03,synthetic_facebook_03_post_0013,2025-01-19T06:00:00-04:00,30,1,2025-01-21T06:00:00-04:00,synthetic,synthetic_fixed_48h
facebook,synthetic_facebook_01,synthetic_facebook_01_post_0016,2025-01-19T12:00:00-04:00,95,7,2025-01-21T12:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0014,2025-01-19T12:00:00-04:00,233,17,2025-01-21T12:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0017,2025-01-19T12:00:00-04:00,59,2,2025-01-21T12:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_02,synthetic_instagram_02_post_0018,2025-01-19T14:00:00-04:00,115,9,2025-01-21T14:00:00-04:00,synthetic,synthetic_fixed_48h
instagram,synthetic_instagram_01,synthetic_instagram_01_post_0015,2025-01-19T19:00:00-04:00,82,7,2025-01-21T19:00:00-04:00,synthetic,synthetic_fixed_48h
